Nome	ID Lattes	ID Scholar
Alba Cristina Magalhães Alves de Melo	5123602572479168	vM_I8f4AAAAJ
Alceu de Souza Britto Jr	4251936710939364	pRK8DCUAAAAJ
Antonio Marinho Pilla Barcellos	2784404872572914	gYziq3EAAAAJ
Artur Ziviani	0472856771871140	3ZF4AIEAAAAJ
Bruno Feijo	8249534204731109	XnyRAcIAAAAJ
Bruno Richard Schulze	4448540530244733	Esjp3ToAAAAJ
Carlos Becker Westphall	4386203755404108	ah0TWZIAAAAJ
Carlos Eduardo Ferreira	9284531339856547	Qi8vq7UAAAAJ
Célio Vinicius Neves de Albuquerque	4641684220602580	cB78oMQAAAAJ
Claudia Linhares Sales	6115379961132154	t967bf8AAAAJ
Claudia Maria Lima Werner	9719247117370600	Ejog01AAAAAJ
Cristina Gomes Fernandes	1399158997660627	XnaNOq8AAAAJ
Daniel Schwabe	5842794652841557	reAUXs0AAAAJ
Edmundo Roberto Mauro Madeira	1870389730408675	4AGL2sIAAAAJ
Eduardo Coelho Cerqueira	1028151705135221	6Oexn7IAAAAJ
Eduardo Santana de Almeida	8538761803577291	hA_SnHoAAAAJ
Elias Procópio Duarte Júnior	5464351563900900	BC8w04cAAAAJ
Estevam Rafael Hruschka Júnior	2097340857065853	19J-aOkAAAAJ
Fabian Luis Vargas	9050311050537919	
Fabio Kon	2342739419247924	VE8BW84AAAAJ
Flávia Coimbra Delicato	5386282151810710	_oZgWqEAAAAJ
George Darmiton da Cunha Cavalcanti	8577312109146354	0dSAy8IAAAAJ
Gerson Zaverucha	5117568495536090	UewoVZ0AAAAJ
Guilherme Horta Travassos	7541486051032916	hn4LDmkAAAAJ
João Paulo Papa	9039182932747194	8hU3dn8AAAAJ
Joni da Silva Fraga	8679800047341353	4i_MfGIAAAAJ
José Ferreira de Rezende	8588117212005149	G6UXKicAAAAJ
Jose Neuman de Souza	3614256141054800	
Judith Kelner	7532050172035129	flG1Hw4AAAAJ
Julio Cesar Sampaio do Prado Leite	6871006250321522	ZHyciAQAAAAJ
Lúcia Maria de Assumpção Drummond	9314029648579658	UhYdnvYAAAAJ
Luciana Salete Buriol	8337454058604654	5BoIwjYAAAAJ
Luciano Paschoal Gaspary	3059640410928425	SnT7z5wAAAAJ
Luciano Silva	9578832375902806	_xB5NUgAAAAJ
Luerbio Faria	3965328361563422	
Luiz Eduardo Soares de Oliveira	8607171759049558	oMgb9jgAAAAJ
Luiza de Macedo Mourelle	4189604454431782	3StQ65IAAAAJ
Marcelo Henriques de Carvalho	4512658167877638	Q_F5v5wAAAAJ
Marco Tulio de Oliveira Valente	2147157840592913	0vFkqMIAAAAJ
Marcos Roberto da Silva Borges	5378961528259963	mpUAlpoAAAAJ
Maria da Graca Campos Pimentel	4962820320879891	2z--uNYAAAAJ
Mauricio Ayala Rincon	8466420403941522	hd3UcpsAAAAJ
Mitre Costa Dourado	0841425239502177	
Nadia Nedjah	5417946704251656	aE-vExgAAAAJ
Olga Regina Pereira Bellon	5948590274082247	YBjOLlsAAAAJ
Paulo Henrique Monteiro Borba	9395715443254344	PpRDLgcAAAAJ
Paulo Roberto Oliveira	7280159257989330	55Or75UAAAAJ
Renato Antonio Celso Ferreira	3446817929796674	Y7Ce3MUAAAAJ
Renato Portugal	2605062132611045	5h5_npsAAAAJ
Rosane Minghim	5138799833042314	TodwpSwAAAAJ
Simone Dantas de Souza	3864440795364252	
Soraia Raupp Musse	2302314954133011	MyKLYVMAAAAJ
Thais Vasconcelos Batista	5521922960404236	i09uEnwAAAAJ
