Nome	ID Lattes	ID Scholar	Ano do Doutorado	Idade Acadêmica	Participações em Projetos (total)	Projetos Coordenados (total)	Projetos (total)	Orientações de Mestrado (total)	Orientações de Doutorado (total)	Orientações (total)	Bancas de Mestrado (total)	Bancas de Doutorado (total)	Bancas (total)	Publicações em Congressos (total)	Publicações em Periódicos (total)	Publicações Indexadas JCR (total)	Publicações (total)	Participações em Projetos	Projetos Coordenados	Projetos	Orientações de Mestrado	Orientações de Doutorado	Orientações	Bancas de Mestrado	Bancas de Doutorado	Bancas	Publicações em Congressos	Publicações em Periódicos	Publicações Indexadas JCR	Publicações	Citações (total)	H-Index (total)	Citações	Participações em Projetos (anual)	Projetos Coordenados (anual)	Projetos (anual)	Orientações de Mestrado (anual)	Orientações de Doutorado (anual)	Orientações (anual)	Bancas de Mestrado (anual)	Bancas de Doutorado (anual)	Bancas (anual)	Publicações em Congressos (anual)	Publicações em Periódicos (anual)	Publicações Indexadas JCR (anual)	Publicações (anual)	Citações (anual)	H-Index (anual)
Alexandre Plastino de Carvalho	4985266524417261	axlvTZoAAAAJ	2000,0	18,0	2,0	5,0	7,0	23,0	7,0	30,0	40,0	19,0	59,0	68,0	25,0	13,0	93,0	0,0	0,0	0,0	1,0	2,0	3,0	6,0	7,0	13,0	7,0	4,0	3,0	11,0	670,0	13,0	200,0	0,1111111111111111	0,2777777777777778	0,3888888888888889	1,2777777777777777	0,3888888888888889	1,6666666666666667	2,2222222222222223	1,0555555555555556	3,2777777777777777	3,7777777777777777	1,3888888888888888	0,7222222222222222	5,166666666666667	37,22222222222222	0,7222222222222222
Aline Marins Paes Carvalho	0506389215528790	PXVlXCEAAAAJ	2011,0	7,0	8,0	4,0	12,0	2,0	1,0	3,0	6,0	2,0	8,0	32,0	6,0	3,0	38,0	3,0	0,0	3,0	0,0	1,0	1,0	3,0	0,0	3,0	7,0	3,0	2,0	10,0	153,0	7,0	44,0	1,1428571428571428	0,5714285714285714	1,7142857142857142	0,2857142857142857	0,14285714285714285	0,42857142857142855	0,8571428571428571	0,2857142857142857	1,1428571428571428	4,571428571428571	0,8571428571428571	0,42857142857142855	5,428571428571429	21,857142857142858	1,0
Anselmo Antunes Montenegro	3518240071127311	Q_FnDrcAAAAJ	2003,0	15,0	10,0	3,0	13,0	13,0	3,0	16,0	31,0	20,0	51,0	61,0	15,0	5,0	76,0	0,0	0,0	0,0	4,0	0,0	4,0	3,0	5,0	8,0	7,0	2,0	1,0	9,0	516,0	13,0	82,0	0,6666666666666666	0,2	0,8666666666666667	0,8666666666666667	0,2	1,0666666666666667	2,066666666666667	1,3333333333333333	3,4	4,066666666666666	1,0	0,3333333333333333	5,066666666666666	34,4	0,8666666666666667
Antonio Augusto de Aragao Rocha	5784860269030800	C_3SJ4oAAAAJ	2010,0	8,0	6,0	6,0	12,0	6,0	0,0	6,0	13,0	0,0	13,0	37,0	7,0	4,0	44,0	0,0	1,0	1,0	0,0	0,0	0,0	2,0	0,0	2,0	7,0	0,0	0,0	7,0	454,0	10,0	75,0	0,75	0,75	1,5	0,75	0,0	0,75	1,625	0,0	1,625	4,625	0,875	0,5	5,5	56,75	1,25
Aura Conci	5601388085745497	lojRGVgAAAAJ	1988,0	30,0	3,0	23,0	26,0	43,0	14,0	57,0	52,0	41,0	93,0	191,0	51,0	27,0	242,0	0,0	4,0	4,0	2,0	3,0	5,0	4,0	4,0	8,0	7,0	5,0	4,0	12,0	2117,0	25,0	461,0	0,1	0,7666666666666667	0,8666666666666667	1,4333333333333333	0,4666666666666667	1,9	1,7333333333333334	1,3666666666666667	3,1	6,366666666666666	1,7	0,9	8,066666666666666	70,56666666666666	0,8333333333333334
Bruno Lopes Vieira	7793315334001237	iWm5AjYAAAAJ	2014,0	4,0	11,0	2,0	13,0	0,0	0,0	0,0	2,0	1,0	3,0	16,0	7,0	1,0	23,0	1,0	1,0	2,0	0,0	0,0	0,0	2,0	1,0	3,0	2,0	2,0	0,0	4,0	64,0	4,0	39,0	2,75	0,5	3,25	0,0	0,0	0,0	0,5	0,25	0,75	4,0	1,75	0,25	5,75	16,0	1,0
Carlos Alberto de Jesus Martinhon	2822582595834942	343VizIAAAAJ	1998,0	20,0	6,0	3,0	9,0	8,0	3,0	11,0	22,0	17,0	39,0	28,0	14,0	11,0	42,0	0,0	0,0	0,0	0,0	1,0	1,0	3,0	4,0	7,0	2,0	1,0	1,0	3,0	307,0	10,0	56,0	0,3	0,15	0,45	0,4	0,15	0,55	1,1	0,85	1,95	1,4	0,7	0,55	2,1	15,35	0,5
Célio Vinicius Neves de Albuquerque	4641684220602580	cB78oMQAAAAJ	2000,0	18,0	8,0	11,0	19,0	24,0	7,0	31,0	75,0	35,0	110,0	103,0	31,0	20,0	134,0	0,0	1,0	1,0	3,0	1,0	4,0	4,0	9,0	13,0	12,0	5,0	4,0	17,0	1903,0	21,0	334,0	0,4444444444444444	0,6111111111111112	1,0555555555555556	1,3333333333333333	0,3888888888888889	1,7222222222222223	4,166666666666667	1,9444444444444444	6,111111111111111	5,722222222222222	1,7222222222222223	1,1111111111111112	7,444444444444445	105,72222222222223	1,1666666666666667
Celso da Cruz Carneiro Ribeiro	3614186131432854	yGl1MwgAAAAJ	1983,0	35,0	0,0	0,0	0,0	36,0	25,0	61,0	10,0	18,0	28,0	57,0	135,0	90,0	192,0	0,0	0,0	0,0	1,0	1,0	2,0	0,0	2,0	2,0	4,0	10,0	8,0	14,0	9196,0	47,0	1225,0	0,0	0,0	0,0	1,0285714285714285	0,7142857142857143	1,7428571428571429	0,2857142857142857	0,5142857142857142	0,8	1,6285714285714286	3,857142857142857	2,5714285714285716	5,485714285714286	262,74285714285713	1,3428571428571427
Christiano de Oliveira Braga	0535266455387139	zYumbMwAAAAJ	2001,0	17,0	20,0	3,0	23,0	5,0	1,0	6,0	8,0	8,0	16,0	36,0	15,0	5,0	51,0	0,0	1,0	1,0	0,0	1,0	1,0	1,0	1,0	2,0	6,0	0,0	0,0	6,0	562,0	14,0	75,0	1,1764705882352942	0,17647058823529413	1,3529411764705883	0,29411764705882354	0,058823529411764705	0,35294117647058826	0,47058823529411764	0,47058823529411764	0,9411764705882353	2,1176470588235294	0,8823529411764706	0,29411764705882354	3,0	33,05882352941177	0,8235294117647058
